Key	Form	URL
char=?	(char=? char1 char2 ...)	https://cisco.github.io/ChezScheme/csug9.5/objects.html#./objects:s15
char>=?	(char>=? char1 char2 ...)	https://cisco.github.io/ChezScheme/csug9.5/objects.html#./objects:s15
char>?	(char>? char1 char2 ...)	https://cisco.github.io/ChezScheme/csug9.5/objects.html#./objects:s15
chmod	(chmod path mode)	https://cisco.github.io/ChezScheme/csug9.5/io.html#./io:s147
clear-input-port	(clear-input-port)~(clear-input-port input-port)	https://cisco.github.io/ChezScheme/csug9.5/io.html#./io:s36
clear-output-port	(clear-output-port)~(clear-output-port output-port)	https://cisco.github.io/ChezScheme/csug9.5/io.html#./io:s37
collect	(collect)~(collect g)~(collect g tg)	https://cisco.github.io/ChezScheme/csug9.5/smgmt.html#./smgmt:s9
collect-generation-radix	collect-generation-radix	https://cisco.github.io/ChezScheme/csug9.5/smgmt.html#./smgmt:s15
collect-maximum-generation	collect-maximum-generation	https://cisco.github.io/ChezScheme/csug9.5/smgmt.html#./smgmt:s16
collect-notify	collect-notify	https://cisco.github.io/ChezScheme/csug9.5/smgmt.html#./smgmt:s11
collect-rendezvous	(collect-rendezvous)	https://cisco.github.io/ChezScheme/csug9.5/smgmt.html#./smgmt:s10
collect-request-handler	collect-request-handler	https://cisco.github.io/ChezScheme/csug9.5/smgmt.html#./smgmt:s17
collect-trip-bytes	collect-trip-bytes	https://cisco.github.io/ChezScheme/csug9.5/smgmt.html#./smgmt:s12
collections	(collections)	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s232
command-line	command-line	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s196
command-line-arguments	command-line-arguments	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s198
commonization-level	commonization-level	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s125
compile	(compile obj)~(compile obj env)	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s43
compile-compressed	compile-compressed	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s119
compile-file	(compile-file input-filename)~(compile-file input-filename output-filename)	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s63
compile-file-message	compile-file-message	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s122
compile-imported-libraries	compile-imported-libraries	https://cisco.github.io/ChezScheme/csug9.5/libraries.html#./libraries:s24
compile-interpret-simple	compile-interpret-simple	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s112
compile-library	(compile-library input-filename)~(compile-library input-filename output-filename)	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s69
compile-library-handler	compile-library-handler	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s73
compile-port	(compile-port input-port output-port)~(compile-port input-port output-port sfd)~(compile-port input-port output-port sfd wpo-port)~(compile-port input-port output-port sfd wpo-port covop)	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s80
compile-profile	compile-profile	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s143
compile-program	(compile-program input-filename)~(compile-program input-filename output-filename)	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s70
compile-program-handler	compile-program-handler	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s75
compile-script	(compile-script input-filename)~(compile-script input-filename output-filename)	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s66
compile-time-value-value	(compile-time-value-value ctv)	https://cisco.github.io/ChezScheme/csug9.5/syntax.html#./syntax:s17
compile-time-value?	(compile-time-value? obj)	https://cisco.github.io/ChezScheme/csug9.5/syntax.html#./syntax:s16
compile-to-file	(compile-to-file obj-list output-file)~(compile-to-file obj-list output-file sfd)	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s82
compile-to-port	(compile-to-port obj-list output-port)~(compile-to-port obj-list output-port sfd)~(compile-to-port obj-list output-port sfd wpo-port)~(compile-to-port obj-list output-port sfd wpo-port covop)	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s81
compile-whole-library	(compile-whole-library input-filename output-filename)	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s79
compile-whole-program	(compile-whole-program input-filename output-filename)~(compile-whole-program input-filename output-filename libs-visible?)	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s77
compress-format	compress-format	https://cisco.github.io/ChezScheme/csug9.5/io.html#./io:s42
compress-level	compress-level	https://cisco.github.io/ChezScheme/csug9.5/io.html#./io:s43
compute-composition	(compute-composition object)~(compute-composition object generation)	https://cisco.github.io/ChezScheme/csug9.5/debug.html#./debug:s31
compute-size	(compute-size object)~(compute-size object generation)	https://cisco.github.io/ChezScheme/csug9.5/debug.html#./debug:s30
condition-broadcast	(condition-broadcast cond)	https://cisco.github.io/ChezScheme/csug9.5/threads.html#./threads:s16
condition-continuation	(condition-continuation condition)	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s6
condition-name	(condition-name condition)	https://cisco.github.io/ChezScheme/csug9.5/threads.html#./threads:s17
condition-signal	(condition-signal cond)	https://cisco.github.io/ChezScheme/csug9.5/threads.html#./threads:s15
condition-wait	(condition-wait cond mutex)~(condition-wait cond mutex timeout)	https://cisco.github.io/ChezScheme/csug9.5/threads.html#./threads:s14
conjugate	(conjugate num)	https://cisco.github.io/ChezScheme/csug9.5/numeric.html#./numeric:s74
console-error-port	console-error-port	https://cisco.github.io/ChezScheme/csug9.5/io.html#./io:s73
console-input-port	console-input-port	https://cisco.github.io/ChezScheme/csug9.5/io.html#./io:s55
console-output-port	console-output-port	https://cisco.github.io/ChezScheme/csug9.5/io.html#./io:s71
constructor	constructor	https://cisco.github.io/ChezScheme/csug9.5/objects.html#./objects:s176
continuation-condition?	(continuation-condition? obj)	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s6
copy-environment	(copy-environment env)~(copy-environment env mutable?)~(copy-environment env mutable? syms)	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s34
copy-time	(copy-time time)	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s211
cosh	(cosh num)	https://cisco.github.io/ChezScheme/csug9.5/numeric.html#./numeric:s76
cost-center-allocation-count	(cost-center-allocation-count cost-center)	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s248
cost-center-instruction-count	(cost-center-instruction-count cost-center)	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s247
cost-center-time	(cost-center-time cost-center)	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s249
cost-center?	(cost-center? obj)	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s245
cp0-effort-limit	cp0-effort-limit	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s123
cp0-outer-unroll-limit	cp0-outer-unroll-limit	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s123
cp0-score-limit	cp0-score-limit	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s123
cpu-time	(cpu-time)	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s224
create-exception-state	(create-exception-state)~(create-exception-state procedure)	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s15
critical-section	(critical-section body1 body2 ...)	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s27
current-date	(current-date)~(current-date offset)	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s213
current-directory	current-directory	https://cisco.github.io/ChezScheme/csug9.5/io.html#./io:s136
current-error-port	current-error-port	https://cisco.github.io/ChezScheme/csug9.5/io.html#./io:s74
current-eval	current-eval	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s39
current-exception-state	current-exception-state	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s14
current-expand	current-expand	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s92
current-input-port	current-input-port	https://cisco.github.io/ChezScheme/csug9.5/io.html#./io:s56
current-locate-source-object-source	current-locate-source-object-source	https://cisco.github.io/ChezScheme/csug9.5/syntax.html#./syntax:s74
current-make-source-object	current-make-source-object	https://cisco.github.io/ChezScheme/csug9.5/syntax.html#./syntax:s62
current-memory-bytes	(current-memory-bytes)	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s229
current-output-port	current-output-port	https://cisco.github.io/ChezScheme/csug9.5/io.html#./io:s72
current-time	(current-time)~(current-time time-type)	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s205
current-transcoder	current-transcoder	https://cisco.github.io/ChezScheme/csug9.5/io.html#./io:s11
custom-port-buffer-size	custom-port-buffer-size	https://cisco.github.io/ChezScheme/csug9.5/io.html#./io:s54
date->time-utc	(date->time-utc date)	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s219
date-and-time	(date-and-time)~(date-and-time date)	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s220
date-day	(date-day date)	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s216
date-dst?	(date-dst? date)	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s218
date-hour	(date-hour date)	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s216
date-minute	(date-minute date)	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s216
date-month	(date-month date)	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s216
date-nanosecond	(date-nanosecond date)	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s216
date-second	(date-second date)	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s216
date-week-day	(date-week-day date)	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s217
date-year	(date-year date)	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s216
date-year-day	(date-year-day date)	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s217
date-zone-name	(date-zone-name date)	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s218
date-zone-offset	(date-zone-offset date)	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s216
date?	(date? obj)	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s215
datum	(datum template)	https://cisco.github.io/ChezScheme/csug9.5/syntax.html#./syntax:s9
datum->syntax-object	(datum->syntax-object template-identifier obj)	https://cisco.github.io/ChezScheme/csug9.5/syntax.html#./syntax:s10
debug	(debug)	https://cisco.github.io/ChezScheme/csug9.5/debug.html#./debug:s16
debug-condition	debug-condition	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s13
debug-level	debug-level	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s110
debug-on-exception	debug-on-exception	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s10
decode-float	(decode-float x)	https://cisco.github.io/ChezScheme/csug9.5/numeric.html#./numeric:s30
default-exception-handler	(default-exception-handler obj)	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s8
default-library-search-handler	(default-library-search-handler who library directories extensions)	https://cisco.github.io/ChezScheme/csug9.5/libraries.html#./libraries:s29
default-prompt-and-read	(default-prompt-and-read level)	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s179
default-record-equal-procedure	default-record-equal-procedure	https://cisco.github.io/ChezScheme/csug9.5/objects.html#./objects:s160
default-record-hash-procedure	default-record-hash-procedure	https://cisco.github.io/ChezScheme/csug9.5/objects.html#./objects:s161
define-ftype	(define-ftype ftype-name ftype)~(define-ftype (ftype-name ftype) ...)	https://cisco.github.io/ChezScheme/csug9.5/foreign.html#./foreign:s137
define-property	(define-property id key expr)	https://cisco.github.io/ChezScheme/csug9.5/syntax.html#./syntax:s18
define-record	(define-record name (fld1 ...) ((fld2 init) ...) (opt ...))~(define-record name parent (fld1 ...) ((fld2 init) ...) (opt ...))	https://cisco.github.io/ChezScheme/csug9.5/objects.html#./objects:s172
define-structure	(define-structure (name id1 ...) ((id2 expr) ...))	https://cisco.github.io/ChezScheme/csug9.5/compat.html#./compat:s25
define-top-level-syntax	(define-top-level-syntax symbol obj)~(define-top-level-syntax symbol obj env)	https://cisco.github.io/ChezScheme/csug9.5/binding.html#./binding:s32
define-top-level-value	(define-top-level-value symbol obj)~(define-top-level-value symbol obj env)	https://cisco.github.io/ChezScheme/csug9.5/binding.html#./binding:s24
define-values	(define-values formals expr)	https://cisco.github.io/ChezScheme/csug9.5/binding.html#./binding:s16
delete-directory	(delete-directory path)~(delete-directory path error?)	https://cisco.github.io/ChezScheme/csug9.5/io.html#./io:s145
delete-file	(delete-file path)~(delete-file path error?)	https://cisco.github.io/ChezScheme/csug9.5/io.html#./io:s144
directory-list	(directory-list path)	https://cisco.github.io/ChezScheme/csug9.5/io.html#./io:s137
directory-separator	(directory-separator)	https://cisco.github.io/ChezScheme/csug9.5/io.html#./io:s150
directory-separator?	(directory-separator? char)	https://cisco.github.io/ChezScheme/csug9.5/io.html#./io:s149
disable-interrupts	(disable-interrupts)	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s26
display-condition	(display-condition obj)~(display-condition obj textual-output-port)	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s7
display-statistics	(display-statistics)~(display-statistics textual-output-port)	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s223
display-string	(display-string string)~(display-string string textual-output-port)	https://cisco.github.io/ChezScheme/csug9.5/io.html#./io:s85
drop-prefix	drop-prefix	https://cisco.github.io/ChezScheme/csug9.5/syntax.html#./syntax:s22
dynamic-wind	(dynamic-wind in body out)~(dynamic-wind critical? in body out)	https://cisco.github.io/ChezScheme/csug9.5/control.html#./control:s11
ee-auto-indent	ee-auto-indent	https://cisco.github.io/ChezScheme/csug9.5/expeditor.html#./expeditor:s1
ee-auto-paren-balance	ee-auto-paren-balance	https://cisco.github.io/ChezScheme/csug9.5/expeditor.html#./expeditor:s3
ee-bind-key	(ee-bind-key key procedure)	https://cisco.github.io/ChezScheme/csug9.5/expeditor.html#./expeditor:s10
ee-common-identifiers	ee-common-identifiers	https://cisco.github.io/ChezScheme/csug9.5/expeditor.html#./expeditor:s9
ee-compose	(ee-compose ecmd ...)	https://cisco.github.io/ChezScheme/csug9.5/expeditor.html#./expeditor:s78
ee-default-repeat	ee-default-repeat	https://cisco.github.io/ChezScheme/csug9.5/expeditor.html#./expeditor:s6
ee-flash-parens	ee-flash-parens	https://cisco.github.io/ChezScheme/csug9.5/expeditor.html#./expeditor:s4
ee-history-limit	ee-history-limit	https://cisco.github.io/ChezScheme/csug9.5/expeditor.html#./expeditor:s8
ee-noisy	ee-noisy	https://cisco.github.io/ChezScheme/csug9.5/expeditor.html#./expeditor:s7
ee-paren-flash-delay	ee-paren-flash-delay	https://cisco.github.io/ChezScheme/csug9.5/expeditor.html#./expeditor:s5
ee-standard-indent	ee-standard-indent	https://cisco.github.io/ChezScheme/csug9.5/expeditor.html#./expeditor:s2
ee-string-macro	(ee-string-macro string)	https://cisco.github.io/ChezScheme/csug9.5/expeditor.html#./expeditor:s77
enable-cross-library-optimization	enable-cross-library-optimization	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s116
enable-interrupts	(enable-interrupts)	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s26
enable-object-counts	enable-object-counts	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s240
engine-block	(engine-block)	https://cisco.github.io/ChezScheme/csug9.5/control.html#./control:s27
engine-return	(engine-return obj ...)	https://cisco.github.io/ChezScheme/csug9.5/control.html#./control:s28
enum-set?	(enum-set? obj)	https://cisco.github.io/ChezScheme/csug9.5/objects.html#./objects:s0
enumerate	(enumerate ls)	https://cisco.github.io/ChezScheme/csug9.5/objects.html#./objects:s9
environment-mutable?	(environment-mutable? env)	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s30
environment-symbols	(environment-symbols env)	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s35
environment?	(environment? obj)	https://cisco.github.io/ChezScheme/csug9.5/system.html#./system:s29
